"quote";"author";"context";"source";"date"
"Batteries not included.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Best if used before date on carton.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Be sure each item is properly endorsed.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Beware of dog.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Blackout restrictions apply.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Blend until smooth.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Booths for two or more.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Breaking seal constitutes acceptance of agreement.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Buckle up!";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Call for details.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Call toll free number before digging.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Check here if tax deductible.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Check your local listings.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Cleanse area thoroughly before applying.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Close cover before striking.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Closed weekends and holidays.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Colors may fade.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Colors may fade in time.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Consumption of alcoholic beverages impairs your ability to drive a car and may
cause health problems.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Contains a substantial amount of non-tobacco ingredients.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Contains no artificial colors or ingredients.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Contents may settle during shipment.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"May cause drowsiness.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Contestants have been briefed on some questions before the show.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Contest void where prohibited by law.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Danger: do not shake.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Dealer prices may vary.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not try this at home.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not flush.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"These statements have not been evaluated by the Food and Drug Administration.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Substantial risk of electric shock.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Does not include installation.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not apply to broken skin.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not attempt this in your home.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not cut switchbacks.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not disturb.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not drink and drive.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not dry clean.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not exceed recommended dosage.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not fold, spindle or mutilate.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not incinerate: contents under pressure.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not open shrink-wrap until you have read and agreed to the conditions
contained within.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not pick the flowers.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not remove tag under penalty of law.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not stamp.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not use if foil seal is broken.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not use while operating a motor vehicle or heavy machinery.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not write below this line.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not write in this space.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Driver does not carry cash.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Serving suggestion.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Made with real ingredients.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Drop in any mailbox.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Dry clean only.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Edited for television.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Employees and their families are not eligible.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Employees must wash hands before returning to work.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Exact change only.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Falling rock.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Federal law prohibits dispensing without a prescription.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Filmed before a live audience.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"First pull up, then pull down.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"For best results, follow directions carefully.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"For external use only.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"For internal use only.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Formatted to fit your screen.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"For office use only.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"For off-road use only.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"For recreational use only.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"For reservations, call your travel agent.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Freshest if eaten before date on carton.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"From concentrate.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"If condition persists, consult your physician.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"If not completely satisfied, return for full refund of purchase price.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"If rash develops, discontinue use.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"List current at time of printing.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"If redness or swelling develop, consult physician promptly.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Illegally parked cars will be towed at owner's expense.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"In specially marked packages only.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Inspired by a true story.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Keep away from edge.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Keep away from fire or flame.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Keep cool.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Keep cool; process promptly.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Keep hands and feet away from moving parts at all times.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Keep out of reach of children.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Keep out of the sunlight.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Keep refrigerated.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Keep this and all chemicals out of the reach of children.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Limitations on coverage and remedies apply.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Limited delivery area.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Limited time offer, call now to ensure prompt delivery.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"List at least two alternate dates.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"List each check separately by bank number.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"List was current at time of printing.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Lost ticket pays maximum rate.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Many suitcases look alike.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"May be too intense for some viewers.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"May explode if improperly recharged.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"May not be reproduced, in whole or in part, by any means, mechanical or
electronic, except for brief excerpts for the purpose of inclusion in reviews.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Membership dues are not refundable.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Merchandise can be shipped only upon receipt of payment.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Might not be suitable for persons suffering from weak hearts.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Minimum charge for booths.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Misuse may cause suffocation.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Monitor not included.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Motorized vehicles only.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Must be over 18.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Must be over 21.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Must be under 48 inches in height.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"New customers only.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Licensed and bonded.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No alcohol, dogs or horses.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No anchovies unless otherwise specified.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No animals were injured.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Monitored by the American Human Association.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No campfires allowed.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Do not use or store near heat or open flame.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Will stain.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Disposable, use only once.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Causes moderate eye irritation.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No Canadian coins.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No foreign coins.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No lifeguard on duty.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No motorized vehicles allowed.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No other warranty expressed or implied.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No passes accepted for this engagement.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No passing.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No passing zone.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No postage necessary if mailed in the United States.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No purchase necessary.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No running on pool deck.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No shirt, no shoes, no service.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No solicitors.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No stopping or standing.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Not affiliated with the American Red Cross.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Not a flying toy.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Celebrity voices impersonated.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Not exactly as shown.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Not for human consumption.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Not from concentrate.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"No transfers issued until the bus comes to a complete stop.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"May contain nuts.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Not recommended for children.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Not responsible for lost or stolen articles.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Not responsible for merchandise left over 30 days.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Not responsible for typographical errors.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Not valid with other offers or specials.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Other restrictions may apply.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"May not be combined with other discounts.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Obey all traffic laws.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Objects in mirror may be closer than they appear.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Offer limited to residents of the contiguous United States.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Offer may end without notice.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Offer void where prohibited by law.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"One size fits all.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Opened for inspection.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Orders subject to approval.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Package sold by weight, not volume.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Pass with care.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Pay toll ahead.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Penalty for private use.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Place stamp here.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Please come again.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Please read the prospectus carefully before you invest or send money.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Please recycle.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Please remain seated until the ride has come to a complete stop.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Portions not affecting outcome have been edited for broadcast.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Positively no smoking.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Postage will be paid by addressee.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Post no bills.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Post office will not deliver without proper postage.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Prerecorded for this time zone.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Prevent forest fires.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Price does not include taxes.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Prices higher in Alaska and Hawaii.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Prices subject to change without notice.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Printed on recycled paper.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Processed at location stamped in code at top of carton.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Process promptly.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Professional driver on closed track.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Management is not responsible for loss or damage.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Professional sample - not for sale.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Protect from light.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Read terms and conditions.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Read the fine print.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Reapply as necessary.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Record additional transactions on back of previous stub.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Replace with same type.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Restaurant package, not for resale.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Results are not typical.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Results vary by individual.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Returns for store credit only.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Sales tax applies.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Sanitized for your protection.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"See label for sequence.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"See other side for additional listings.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"See store for details.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Sell by date stamped on bottom.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Send a self-addressed, stamped envelope.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Shading within a garment may occur.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Shake well before using.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Shipping not included.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Show night or time may vary in your market.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Shut off engine before fueling.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Sign here without admitting guilt.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
