"quote";"author";"context";"source";"date"
"Cheer Up!  Things are getting worse at a slower rate.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Chess tonight.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Chicken Little only has to be right once.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Chicken Little was right.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Cold hands, no gloves.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Communicate!  It can't make things any worse.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Courage is your greatest present need.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Day of inquiry.  You will be subpoenaed.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Do not overtax your powers.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Do not sleep in a eucalyptus tree tonight.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Do nothing unless you must, and when you must act -- hesitate.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Do something unusual today.  Pay a bill.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Do what comes naturally.  Seethe and fume and throw a tantrum.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Domestic happiness and faithful friends.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't feed the bats tonight.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't get stuck in a closet -- wear yourself out.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't get to bragging.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't go surfing in South Dakota for a while.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't hate yourself in the morning -- sleep till noon.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't kiss an elephant on the lips today.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't let your mind wander -- it's too little to be let out alone.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't look back, the lemmings are gaining on you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't look now, but the man in the moon is laughing at you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't look now, but there is a multi-legged creature on your shoulder.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't plan any hasty moves.  You'll be evicted soon anyway.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't read any sky-writing for the next two weeks.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't read everything you believe.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't relax!  It's only your tension that's holding you together.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't tell any big lies today.  Small ones can be just as effective.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't worry so loud, your roommate can't think.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't Worry, Be Happy.";"Meher Baba";NA;"fortunes.dat (fortunes-min)";NA
"Don't worry.  Life's too long.";"Vincent Sardi, Jr.";NA;"fortunes.dat (fortunes-min)";NA
"Don't you feel more like you do now than you did when you came in?";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Don't you wish you had more energy... or less ambition?";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Everything that you know is wrong, but you can be straightened out.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Everything will be just tickety-boo today.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Excellent day for putting Slinkies on an escalator.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Excellent day to have a rotten day.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Excellent time to become a missing person.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Executive ability is prominent in your make-up.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Exercise caution in your daily affairs.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Expect a letter from a friend who will ask a favor of you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Expect the worst, it's the least you can do.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Fine day for friends.
So-so day for you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Fine day to work off excess energy.  Steal something heavy.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Fortune: You will be attacked next Wednesday at 3:15 p.m. by six samurai
sword wielding purple fish glued to Harley-Davidson motorcycles.

Oh, and have a nice day!";"Bryce Nesbitt '84";NA;"fortunes.dat (fortunes-min)";NA
"Future looks spotty.  You will spill soup in late evening.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Generosity and perfection are your everlasting goals.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Give him an evasive answer.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Give thought to your reputation.  Consider changing name and moving to
a new town.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Give your very best today.  Heaven knows it's little enough.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Go to a movie tonight.  Darkness becomes you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Good day for a change of scene.  Repaper the bedroom wall.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Good day for overcoming obstacles.  Try a steeplechase.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Good day to deal with people in high places; particularly lonely stewardesses.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Good day to let down old friends who need help.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Good news from afar can bring you a welcome visitor.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Good news.  Ten weeks from Friday will be a pretty good day.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Good night to spend with family, but avoid arguments with your mate's
new lover.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Green light in A.M. for new projects.  Red light in P.M. for traffic tickets.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Hope that the day after you die is a nice day.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"If you can read this, you're too close.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"If you learn one useless thing every day, in a single year you'll learn
365 useless things.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"If you sow your wild oats, hope for a crop failure.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"If you stand on your head, you will get footprints in your hair.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"If you think last Tuesday was a drag, wait till you see what happens tomorrow!";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"If your life was a horse, you'd have to shoot it.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"In the stairway of life, you'd best take the elevator.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Increased knowledge will help you now.  Have mate's phone bugged.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Is that really YOU that is reading this?";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Is this really happening?";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"It is so very hard to be an
on-your-own-take-care-of-yourself-because-there-is-no-one-else-to-do-it-for-you
grown-up.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"It may or may not be worthwhile, but it still has to be done.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"It was all so different before everything changed.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"It's a very *__UN*lucky week in which to be took dead.";"Churchy La Femme";NA;"fortunes.dat (fortunes-min)";NA
"It's all in the mind, ya know.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"It's lucky you're going so slowly, because you're going in the wrong direction.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Just because the message may never be received does not mean it is
not worth sending.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Just to have it is enough.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Keep emotionally active.  Cater to your favorite neurosis.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Keep it short for pithy sake.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Lady Luck brings added income today.  Lady friend takes it away tonight.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Learn to pause -- or nothing worthwhile can catch up to you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Let me put it this way: today is going to be a learning experience.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Life is to you a dashing and bold adventure.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"\"Life, loathe it or ignore it, you can't like it.\"";"Marvin, \"Hitchhiker's Guide to the Galaxy\"";NA;"fortunes.dat (fortunes-min)";NA
"Live in a world of your own, but always welcome visitors.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Living your life is a task so difficult, it has never been attempted before.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Long life is in store for you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Look afar and see the end from the beginning.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Love is in the offing.  Be affectionate to one who adores you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Make a wish, it might come true.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Many changes of mind and mood; do not hesitate too long.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Never be led astray onto the path of virtue.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Never commit yourself!  Let someone else commit you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Never give an inch!";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Never look up when dragons fly overhead.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Never reveal your best argument.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Next Friday will not be your lucky day.  As a matter of fact, you don't
have a lucky day this year.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Of course you have a purpose -- to find a purpose.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"People are beginning to notice you.  Try dressing before you leave the house.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Perfect day for scrubbing the floor and other exciting things.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Questionable day.

Ask somebody something.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Reply hazy, ask again later.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Save energy: be apathetic.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Ships are safe in harbor, but they were never meant to stay there.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Slow day.  Practice crawling.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Snow Day -- stay home.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"So this is it.  We're going to die.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"So you're back... about time...";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Someone is speaking well of you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Someone is speaking well of you.

How unusual!";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Someone whom you reject today, will reject you tomorrow.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Stay away from flying saucers today.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Stay away from hurricanes for a while.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Stay the curse.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"That secret you've been guarding, isn't.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"The time is right to make new friends.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"The whole world is a tuxedo and you are a pair of brown shoes.";"George Gobel";NA;"fortunes.dat (fortunes-min)";NA
"There is a 20% chance of tomorrow.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"There is a fly on your nose.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"There was a phone call for you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"There will be big changes for you but you will be happy.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Things will be bright in P.M.  A cop will shine a light in your face.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Think twice before speaking, but don't say \"think think click click\".";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"This life is yours.  Some of it was given to you; the rest, you made yourself.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"This will be a memorable month -- no matter how hard you try to forget it.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Time to be aggressive.  Go after a tattooed Virgo.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Today is National Existential Ennui Awareness Day.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Today is the first day of the rest of the mess.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Today is the first day of the rest of your life.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Today is the last day of your life so far.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Today is the tomorrow you worried about yesterday.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Today is what happened to yesterday.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Today's weirdness is tomorrow's reason why.";"Hunter S. Thompson";NA;"fortunes.dat (fortunes-min)";NA
"Tomorrow will be cancelled due to lack of interest.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Tomorrow, this will be part of the unchangeable past but fortunately,
it can still be changed today.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Tomorrow, you can be anywhere.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Tonight you will pay the wages of sin; Don't forget to leave a tip.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Tonight's the night: Sleep in a eucalyptus tree.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Troubled day for virgins over 16 who are beautiful and wealthy and live
in eucalyptus trees.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Truth will out this morning.  (Which may really mess things up.)";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Try the Moo Shu Pork.  It is especially good today.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Try to get all of your posthumous medals in advance.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Try to have as good a life as you can under the circumstances.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Try to relax and enjoy the crisis.";"Ashleigh Brilliant";NA;"fortunes.dat (fortunes-min)";NA
"Try to value useful qualities in one who loves you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Tuesday After Lunch is the cosmic time of the week.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Tuesday is the Wednesday of the rest of your life.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"What happened last night can happen again.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"While you recently had your problems on the run, they've regrouped and
are making another attack.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Write yourself a threatening letter and pen a defiant reply.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"You are a bundle of energy, always on the go.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"You are a fluke of the universe; you have no right to be here.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"You are a very redundant person, that's what kind of person you are.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"You are always busy.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
